VMM=0, CKTPrunning=1, PDAC=40, XADC=986, MMFE8=123
VMM=1, CKTPrunning=1, PDAC=40, XADC=744, MMFE8=123
VMM=2, CKTPrunning=1, PDAC=40, XADC=743, MMFE8=123
VMM=3, CKTPrunning=1, PDAC=40, XADC=735, MMFE8=123
VMM=4, CKTPrunning=1, PDAC=40, XADC=716, MMFE8=123
VMM=5, CKTPrunning=1, PDAC=40, XADC=709, MMFE8=123
VMM=6, CKTPrunning=1, PDAC=40, XADC=686, MMFE8=123
VMM=7, CKTPrunning=1, PDAC=40, XADC=732, MMFE8=123
VMM=0, CKTPrunning=1, PDAC=40, XADC=987, MMFE8=123
VMM=1, CKTPrunning=1, PDAC=40, XADC=747, MMFE8=123
VMM=2, CKTPrunning=1, PDAC=40, XADC=748, MMFE8=123
VMM=3, CKTPrunning=1, PDAC=40, XADC=739, MMFE8=123
VMM=4, CKTPrunning=1, PDAC=40, XADC=719, MMFE8=123
VMM=5, CKTPrunning=1, PDAC=40, XADC=714, MMFE8=123
VMM=6, CKTPrunning=1, PDAC=40, XADC=686, MMFE8=123
VMM=7, CKTPrunning=1, PDAC=40, XADC=734, MMFE8=123
VMM=0, CKTPrunning=1, PDAC=40, XADC=987, MMFE8=123
VMM=1, CKTPrunning=1, PDAC=40, XADC=746, MMFE8=123
VMM=2, CKTPrunning=1, PDAC=40, XADC=748, MMFE8=123
VMM=3, CKTPrunning=1, PDAC=40, XADC=739, MMFE8=123
VMM=4, CKTPrunning=1, PDAC=40, XADC=721, MMFE8=123
VMM=5, CKTPrunning=1, PDAC=40, XADC=715, MMFE8=123
VMM=6, CKTPrunning=1, PDAC=40, XADC=690, MMFE8=123
VMM=7, CKTPrunning=1, PDAC=40, XADC=734, MMFE8=123
VMM=0, CKTPrunning=1, PDAC=40, XADC=988, MMFE8=123
VMM=1, CKTPrunning=1, PDAC=40, XADC=747, MMFE8=123
VMM=2, CKTPrunning=1, PDAC=40, XADC=746, MMFE8=123
VMM=3, CKTPrunning=1, PDAC=40, XADC=739, MMFE8=123
VMM=4, CKTPrunning=1, PDAC=40, XADC=718, MMFE8=123
VMM=5, CKTPrunning=1, PDAC=40, XADC=712, MMFE8=123
VMM=6, CKTPrunning=1, PDAC=40, XADC=688, MMFE8=123
VMM=7, CKTPrunning=1, PDAC=40, XADC=735, MMFE8=123
VMM=0, CKTPrunning=1, PDAC=40, XADC=989, MMFE8=123
VMM=1, CKTPrunning=1, PDAC=40, XADC=748, MMFE8=123
VMM=2, CKTPrunning=1, PDAC=40, XADC=747, MMFE8=123
VMM=3, CKTPrunning=1, PDAC=40, XADC=738, MMFE8=123
VMM=4, CKTPrunning=1, PDAC=40, XADC=718, MMFE8=123
VMM=5, CKTPrunning=1, PDAC=40, XADC=713, MMFE8=123
VMM=6, CKTPrunning=1, PDAC=40, XADC=688, MMFE8=123
VMM=7, CKTPrunning=1, PDAC=40, XADC=735, MMFE8=123
VMM=0, CKTPrunning=1, PDAC=40, XADC=987, MMFE8=123
VMM=1, CKTPrunning=1, PDAC=40, XADC=748, MMFE8=123
VMM=2, CKTPrunning=1, PDAC=40, XADC=749, MMFE8=123
VMM=3, CKTPrunning=1, PDAC=40, XADC=740, MMFE8=123
VMM=4, CKTPrunning=1, PDAC=40, XADC=719, MMFE8=123
VMM=5, CKTPrunning=1, PDAC=40, XADC=713, MMFE8=123
VMM=6, CKTPrunning=1, PDAC=40, XADC=685, MMFE8=123
VMM=7, CKTPrunning=1, PDAC=40, XADC=732, MMFE8=123
VMM=0, CKTPrunning=1, PDAC=40, XADC=988, MMFE8=123
VMM=1, CKTPrunning=1, PDAC=40, XADC=748, MMFE8=123
VMM=2, CKTPrunning=1, PDAC=40, XADC=746, MMFE8=123
VMM=3, CKTPrunning=1, PDAC=40, XADC=739, MMFE8=123
VMM=4, CKTPrunning=1, PDAC=40, XADC=720, MMFE8=123
VMM=5, CKTPrunning=1, PDAC=40, XADC=713, MMFE8=123
VMM=6, CKTPrunning=1, PDAC=40, XADC=687, MMFE8=123
VMM=7, CKTPrunning=1, PDAC=40, XADC=733, MMFE8=123
VMM=0, CKTPrunning=1, PDAC=40, XADC=123, MMFE8=123
VMM=1, CKTPrunning=1, PDAC=40, XADC=54, MMFE8=123
VMM=2, CKTPrunning=1, PDAC=40, XADC=155, MMFE8=123
VMM=3, CKTPrunning=1, PDAC=40, XADC=117, MMFE8=123
VMM=4, CKTPrunning=1, PDAC=40, XADC=118, MMFE8=123
VMM=5, CKTPrunning=1, PDAC=40, XADC=111, MMFE8=123
VMM=6, CKTPrunning=1, PDAC=40, XADC=96, MMFE8=123
VMM=7, CKTPrunning=1, PDAC=40, XADC=109, MMFE8=123
VMM=0, CKTPrunning=1, PDAC=40, XADC=126, MMFE8=123
VMM=1, CKTPrunning=1, PDAC=40, XADC=55, MMFE8=123
VMM=2, CKTPrunning=1, PDAC=40, XADC=155, MMFE8=123
VMM=3, CKTPrunning=1, PDAC=40, XADC=118, MMFE8=123
VMM=4, CKTPrunning=1, PDAC=40, XADC=115, MMFE8=123
VMM=5, CKTPrunning=1, PDAC=40, XADC=109, MMFE8=123
VMM=6, CKTPrunning=1, PDAC=40, XADC=94, MMFE8=123
VMM=7, CKTPrunning=1, PDAC=40, XADC=112, MMFE8=123
VMM=0, CKTPrunning=1, PDAC=40, XADC=124, MMFE8=123
VMM=1, CKTPrunning=1, PDAC=40, XADC=55, MMFE8=123
VMM=2, CKTPrunning=1, PDAC=40, XADC=155, MMFE8=123
VMM=3, CKTPrunning=1, PDAC=40, XADC=119, MMFE8=123
VMM=4, CKTPrunning=1, PDAC=40, XADC=114, MMFE8=123
VMM=5, CKTPrunning=1, PDAC=40, XADC=111, MMFE8=123
VMM=6, CKTPrunning=1, PDAC=40, XADC=96, MMFE8=123
VMM=7, CKTPrunning=1, PDAC=40, XADC=111, MMFE8=123
VMM=0, CKTPrunning=1, PDAC=40, XADC=126, MMFE8=123
VMM=1, CKTPrunning=1, PDAC=40, XADC=53, MMFE8=123
VMM=2, CKTPrunning=1, PDAC=40, XADC=157, MMFE8=123
VMM=3, CKTPrunning=1, PDAC=40, XADC=119, MMFE8=123
VMM=4, CKTPrunning=1, PDAC=40, XADC=116, MMFE8=123
VMM=5, CKTPrunning=1, PDAC=40, XADC=110, MMFE8=123
VMM=6, CKTPrunning=1, PDAC=40, XADC=96, MMFE8=123
VMM=7, CKTPrunning=1, PDAC=40, XADC=111, MMFE8=123
VMM=0, CKTPrunning=1, PDAC=40, XADC=126, MMFE8=123
VMM=1, CKTPrunning=1, PDAC=40, XADC=54, MMFE8=123
VMM=2, CKTPrunning=1, PDAC=40, XADC=155, MMFE8=123
VMM=3, CKTPrunning=1, PDAC=40, XADC=118, MMFE8=123
VMM=4, CKTPrunning=1, PDAC=40, XADC=119, MMFE8=123
VMM=5, CKTPrunning=1, PDAC=40, XADC=109, MMFE8=123
VMM=6, CKTPrunning=1, PDAC=40, XADC=94, MMFE8=123
VMM=7, CKTPrunning=1, PDAC=40, XADC=112, MMFE8=123
VMM=0, CKTPrunning=1, PDAC=40, XADC=125, MMFE8=123
VMM=1, CKTPrunning=1, PDAC=40, XADC=54, MMFE8=123
VMM=2, CKTPrunning=1, PDAC=40, XADC=155, MMFE8=123
VMM=3, CKTPrunning=1, PDAC=40, XADC=119, MMFE8=123
VMM=4, CKTPrunning=1, PDAC=40, XADC=117, MMFE8=123
VMM=5, CKTPrunning=1, PDAC=40, XADC=114, MMFE8=123
VMM=6, CKTPrunning=1, PDAC=40, XADC=95, MMFE8=123
VMM=7, CKTPrunning=1, PDAC=40, XADC=113, MMFE8=123
VMM=0, CKTPrunning=1, PDAC=40, XADC=127, MMFE8=123
VMM=1, CKTPrunning=1, PDAC=40, XADC=55, MMFE8=123
VMM=2, CKTPrunning=1, PDAC=40, XADC=157, MMFE8=123
VMM=3, CKTPrunning=1, PDAC=40, XADC=120, MMFE8=123
VMM=4, CKTPrunning=1, PDAC=40, XADC=120, MMFE8=123
VMM=5, CKTPrunning=1, PDAC=40, XADC=113, MMFE8=123
VMM=6, CKTPrunning=1, PDAC=40, XADC=98, MMFE8=123
VMM=7, CKTPrunning=1, PDAC=40, XADC=113, MMFE8=123
VMM=0, CKTPrunning=1, PDAC=40, XADC=128, MMFE8=123
VMM=1, CKTPrunning=1, PDAC=40, XADC=57, MMFE8=123
VMM=2, CKTPrunning=1, PDAC=40, XADC=158, MMFE8=123
VMM=3, CKTPrunning=1, PDAC=40, XADC=121, MMFE8=123
VMM=4, CKTPrunning=1, PDAC=40, XADC=120, MMFE8=123
VMM=5, CKTPrunning=1, PDAC=40, XADC=114, MMFE8=123
VMM=6, CKTPrunning=1, PDAC=40, XADC=97, MMFE8=123
VMM=7, CKTPrunning=1, PDAC=40, XADC=114, MMFE8=123
VMM=0, CKTPrunning=1, PDAC=40, XADC=127, MMFE8=123
VMM=1, CKTPrunning=1, PDAC=40, XADC=57, MMFE8=123
VMM=2, CKTPrunning=1, PDAC=40, XADC=158, MMFE8=123
VMM=3, CKTPrunning=1, PDAC=40, XADC=122, MMFE8=123
VMM=4, CKTPrunning=1, PDAC=40, XADC=121, MMFE8=123
VMM=5, CKTPrunning=1, PDAC=40, XADC=114, MMFE8=123
VMM=6, CKTPrunning=1, PDAC=40, XADC=99, MMFE8=123
VMM=7, CKTPrunning=1, PDAC=40, XADC=115, MMFE8=123
VMM=0, CKTPrunning=1, PDAC=40, XADC=129, MMFE8=123
VMM=1, CKTPrunning=1, PDAC=40, XADC=58, MMFE8=123
VMM=2, CKTPrunning=1, PDAC=40, XADC=160, MMFE8=123
VMM=3, CKTPrunning=1, PDAC=40, XADC=121, MMFE8=123
VMM=4, CKTPrunning=1, PDAC=40, XADC=120, MMFE8=123
VMM=5, CKTPrunning=1, PDAC=40, XADC=114, MMFE8=123
VMM=6, CKTPrunning=1, PDAC=40, XADC=96, MMFE8=123
VMM=7, CKTPrunning=1, PDAC=40, XADC=114, MMFE8=123
VMM=0, CKTPrunning=1, PDAC=40, XADC=130, MMFE8=123
VMM=1, CKTPrunning=1, PDAC=40, XADC=58, MMFE8=123
VMM=2, CKTPrunning=1, PDAC=40, XADC=159, MMFE8=123
VMM=3, CKTPrunning=1, PDAC=40, XADC=123, MMFE8=123
VMM=4, CKTPrunning=1, PDAC=40, XADC=123, MMFE8=123
VMM=5, CKTPrunning=1, PDAC=40, XADC=113, MMFE8=123
VMM=6, CKTPrunning=1, PDAC=40, XADC=101, MMFE8=123
VMM=7, CKTPrunning=1, PDAC=40, XADC=113, MMFE8=123
VMM=0, CKTPrunning=1, PDAC=40, XADC=130, MMFE8=123
VMM=1, CKTPrunning=1, PDAC=40, XADC=60, MMFE8=123
VMM=2, CKTPrunning=1, PDAC=40, XADC=159, MMFE8=123
VMM=3, CKTPrunning=1, PDAC=40, XADC=124, MMFE8=123
VMM=4, CKTPrunning=1, PDAC=40, XADC=120, MMFE8=123
VMM=5, CKTPrunning=1, PDAC=40, XADC=115, MMFE8=123
VMM=6, CKTPrunning=1, PDAC=40, XADC=98, MMFE8=123
VMM=7, CKTPrunning=1, PDAC=40, XADC=112, MMFE8=123
VMM=0, CKTPrunning=1, PDAC=40, XADC=131, MMFE8=123
VMM=1, CKTPrunning=1, PDAC=40, XADC=59, MMFE8=123
VMM=2, CKTPrunning=1, PDAC=40, XADC=159, MMFE8=123
VMM=3, CKTPrunning=1, PDAC=40, XADC=124, MMFE8=123
VMM=4, CKTPrunning=1, PDAC=40, XADC=121, MMFE8=123
VMM=5, CKTPrunning=1, PDAC=40, XADC=115, MMFE8=123
VMM=6, CKTPrunning=1, PDAC=40, XADC=99, MMFE8=123
VMM=7, CKTPrunning=1, PDAC=40, XADC=113, MMFE8=123
VMM=0, CKTPrunning=1, PDAC=40, XADC=130, MMFE8=123
VMM=1, CKTPrunning=1, PDAC=40, XADC=60, MMFE8=123
VMM=2, CKTPrunning=1, PDAC=40, XADC=162, MMFE8=123
VMM=3, CKTPrunning=1, PDAC=40, XADC=124, MMFE8=123
VMM=4, CKTPrunning=1, PDAC=40, XADC=121, MMFE8=123
VMM=5, CKTPrunning=1, PDAC=40, XADC=113, MMFE8=123
VMM=6, CKTPrunning=1, PDAC=40, XADC=98, MMFE8=123
VMM=7, CKTPrunning=1, PDAC=40, XADC=114, MMFE8=123
VMM=0, CKTPrunning=1, PDAC=40, XADC=131, MMFE8=123
VMM=1, CKTPrunning=1, PDAC=40, XADC=59, MMFE8=123
VMM=2, CKTPrunning=1, PDAC=40, XADC=159, MMFE8=123
VMM=3, CKTPrunning=1, PDAC=40, XADC=124, MMFE8=123
VMM=4, CKTPrunning=1, PDAC=40, XADC=120, MMFE8=123
VMM=5, CKTPrunning=1, PDAC=40, XADC=114, MMFE8=123
VMM=6, CKTPrunning=1, PDAC=40, XADC=98, MMFE8=123
VMM=7, CKTPrunning=1, PDAC=40, XADC=112, MMFE8=123
VMM=0, CKTPrunning=1, PDAC=40, XADC=128, MMFE8=123
VMM=1, CKTPrunning=1, PDAC=40, XADC=57, MMFE8=123
VMM=2, CKTPrunning=1, PDAC=40, XADC=159, MMFE8=123
VMM=3, CKTPrunning=1, PDAC=40, XADC=122, MMFE8=123
VMM=4, CKTPrunning=1, PDAC=40, XADC=120, MMFE8=123
VMM=5, CKTPrunning=1, PDAC=40, XADC=116, MMFE8=123
VMM=6, CKTPrunning=1, PDAC=40, XADC=98, MMFE8=123
VMM=7, CKTPrunning=1, PDAC=40, XADC=115, MMFE8=123
VMM=0, CKTPrunning=1, PDAC=40, XADC=131, MMFE8=123
VMM=1, CKTPrunning=1, PDAC=40, XADC=58, MMFE8=123
VMM=2, CKTPrunning=1, PDAC=40, XADC=158, MMFE8=123
VMM=3, CKTPrunning=1, PDAC=40, XADC=124, MMFE8=123
