VMM=0, CKTPrunning=1, PDAC=40, XADC=780, MMFE8=124
VMM=1, CKTPrunning=1, PDAC=40, XADC=599, MMFE8=124
VMM=2, CKTPrunning=1, PDAC=40, XADC=661, MMFE8=124
VMM=3, CKTPrunning=1, PDAC=40, XADC=648, MMFE8=124
VMM=4, CKTPrunning=1, PDAC=40, XADC=636, MMFE8=124
VMM=5, CKTPrunning=1, PDAC=40, XADC=634, MMFE8=124
VMM=6, CKTPrunning=1, PDAC=40, XADC=666, MMFE8=124
VMM=7, CKTPrunning=1, PDAC=40, XADC=661, MMFE8=124
VMM=0, CKTPrunning=1, PDAC=40, XADC=775, MMFE8=124
VMM=1, CKTPrunning=1, PDAC=40, XADC=596, MMFE8=124
VMM=2, CKTPrunning=1, PDAC=40, XADC=660, MMFE8=124
VMM=3, CKTPrunning=1, PDAC=40, XADC=649, MMFE8=124
VMM=4, CKTPrunning=1, PDAC=40, XADC=635, MMFE8=124
VMM=5, CKTPrunning=1, PDAC=40, XADC=634, MMFE8=124
VMM=6, CKTPrunning=1, PDAC=40, XADC=665, MMFE8=124
VMM=7, CKTPrunning=1, PDAC=40, XADC=661, MMFE8=124
VMM=0, CKTPrunning=1, PDAC=40, XADC=779, MMFE8=124
VMM=1, CKTPrunning=1, PDAC=40, XADC=595, MMFE8=124
VMM=2, CKTPrunning=1, PDAC=40, XADC=660, MMFE8=124
VMM=3, CKTPrunning=1, PDAC=40, XADC=647, MMFE8=124
VMM=4, CKTPrunning=1, PDAC=40, XADC=627, MMFE8=124
VMM=5, CKTPrunning=1, PDAC=40, XADC=631, MMFE8=124
VMM=6, CKTPrunning=1, PDAC=40, XADC=661, MMFE8=124
VMM=7, CKTPrunning=1, PDAC=40, XADC=659, MMFE8=124
VMM=0, CKTPrunning=1, PDAC=40, XADC=779, MMFE8=124
VMM=1, CKTPrunning=1, PDAC=40, XADC=597, MMFE8=124
VMM=2, CKTPrunning=1, PDAC=40, XADC=661, MMFE8=124
VMM=3, CKTPrunning=1, PDAC=40, XADC=649, MMFE8=124
VMM=4, CKTPrunning=1, PDAC=40, XADC=634, MMFE8=124
VMM=5, CKTPrunning=1, PDAC=40, XADC=634, MMFE8=124
VMM=6, CKTPrunning=1, PDAC=40, XADC=663, MMFE8=124
VMM=7, CKTPrunning=1, PDAC=40, XADC=661, MMFE8=124
VMM=0, CKTPrunning=1, PDAC=40, XADC=778, MMFE8=124
VMM=1, CKTPrunning=1, PDAC=40, XADC=597, MMFE8=124
VMM=2, CKTPrunning=1, PDAC=40, XADC=660, MMFE8=124
VMM=3, CKTPrunning=1, PDAC=40, XADC=649, MMFE8=124
VMM=4, CKTPrunning=1, PDAC=40, XADC=634, MMFE8=124
VMM=5, CKTPrunning=1, PDAC=40, XADC=633, MMFE8=124
VMM=6, CKTPrunning=1, PDAC=40, XADC=664, MMFE8=124
VMM=7, CKTPrunning=1, PDAC=40, XADC=659, MMFE8=124
VMM=0, CKTPrunning=1, PDAC=40, XADC=780, MMFE8=124
VMM=1, CKTPrunning=1, PDAC=40, XADC=598, MMFE8=124
VMM=2, CKTPrunning=1, PDAC=40, XADC=661, MMFE8=124
VMM=3, CKTPrunning=1, PDAC=40, XADC=646, MMFE8=124
VMM=4, CKTPrunning=1, PDAC=40, XADC=635, MMFE8=124
VMM=5, CKTPrunning=1, PDAC=40, XADC=635, MMFE8=124
VMM=6, CKTPrunning=1, PDAC=40, XADC=665, MMFE8=124
VMM=7, CKTPrunning=1, PDAC=40, XADC=660, MMFE8=124
VMM=0, CKTPrunning=1, PDAC=40, XADC=779, MMFE8=124
VMM=1, CKTPrunning=1, PDAC=40, XADC=599, MMFE8=124
VMM=2, CKTPrunning=1, PDAC=40, XADC=664, MMFE8=124
VMM=3, CKTPrunning=1, PDAC=40, XADC=648, MMFE8=124
VMM=4, CKTPrunning=1, PDAC=40, XADC=636, MMFE8=124
VMM=5, CKTPrunning=1, PDAC=40, XADC=636, MMFE8=124
VMM=6, CKTPrunning=1, PDAC=40, XADC=666, MMFE8=124
VMM=7, CKTPrunning=1, PDAC=40, XADC=661, MMFE8=124
VMM=0, CKTPrunning=1, PDAC=40, XADC=777, MMFE8=124
VMM=1, CKTPrunning=1, PDAC=40, XADC=596, MMFE8=124
VMM=2, CKTPrunning=1, PDAC=40, XADC=661, MMFE8=124
VMM=3, CKTPrunning=1, PDAC=40, XADC=648, MMFE8=124
VMM=4, CKTPrunning=1, PDAC=40, XADC=634, MMFE8=124
VMM=5, CKTPrunning=1, PDAC=40, XADC=635, MMFE8=124
VMM=6, CKTPrunning=1, PDAC=40, XADC=665, MMFE8=124
VMM=7, CKTPrunning=1, PDAC=40, XADC=663, MMFE8=124
VMM=0, CKTPrunning=1, PDAC=40, XADC=779, MMFE8=124
VMM=1, CKTPrunning=1, PDAC=40, XADC=596, MMFE8=124
VMM=2, CKTPrunning=1, PDAC=40, XADC=660, MMFE8=124
VMM=3, CKTPrunning=1, PDAC=40, XADC=645, MMFE8=124
VMM=4, CKTPrunning=1, PDAC=40, XADC=635, MMFE8=124
VMM=5, CKTPrunning=1, PDAC=40, XADC=632, MMFE8=124
VMM=6, CKTPrunning=1, PDAC=40, XADC=663, MMFE8=124
VMM=7, CKTPrunning=1, PDAC=40, XADC=660, MMFE8=124
VMM=0, CKTPrunning=1, PDAC=40, XADC=778, MMFE8=124
VMM=1, CKTPrunning=1, PDAC=40, XADC=598, MMFE8=124
VMM=2, CKTPrunning=1, PDAC=40, XADC=663, MMFE8=124
VMM=3, CKTPrunning=1, PDAC=40, XADC=649, MMFE8=124
VMM=4, CKTPrunning=1, PDAC=40, XADC=633, MMFE8=124
VMM=5, CKTPrunning=1, PDAC=40, XADC=636, MMFE8=124
VMM=6, CKTPrunning=1, PDAC=40, XADC=664, MMFE8=124
VMM=7, CKTPrunning=1, PDAC=40, XADC=659, MMFE8=124
VMM=0, CKTPrunning=1, PDAC=40, XADC=778, MMFE8=124
VMM=1, CKTPrunning=1, PDAC=40, XADC=598, MMFE8=124
VMM=2, CKTPrunning=1, PDAC=40, XADC=662, MMFE8=124
VMM=3, CKTPrunning=1, PDAC=40, XADC=649, MMFE8=124
VMM=4, CKTPrunning=1, PDAC=40, XADC=634, MMFE8=124
VMM=5, CKTPrunning=1, PDAC=40, XADC=634, MMFE8=124
VMM=6, CKTPrunning=1, PDAC=40, XADC=663, MMFE8=124
VMM=7, CKTPrunning=1, PDAC=40, XADC=660, MMFE8=124
VMM=0, CKTPrunning=1, PDAC=40, XADC=777, MMFE8=124
VMM=1, CKTPrunning=1, PDAC=40, XADC=598, MMFE8=124
VMM=2, CKTPrunning=1, PDAC=40, XADC=663, MMFE8=124
VMM=3, CKTPrunning=1, PDAC=40, XADC=648, MMFE8=124
VMM=4, CKTPrunning=1, PDAC=40, XADC=636, MMFE8=124
VMM=5, CKTPrunning=1, PDAC=40, XADC=636, MMFE8=124
VMM=6, CKTPrunning=1, PDAC=40, XADC=665, MMFE8=124
VMM=7, CKTPrunning=1, PDAC=40, XADC=661, MMFE8=124
VMM=0, CKTPrunning=1, PDAC=40, XADC=779, MMFE8=124
VMM=1, CKTPrunning=1, PDAC=40, XADC=597, MMFE8=124
VMM=2, CKTPrunning=1, PDAC=40, XADC=660, MMFE8=124
VMM=3, CKTPrunning=1, PDAC=40, XADC=648, MMFE8=124
VMM=4, CKTPrunning=1, PDAC=40, XADC=633, MMFE8=124
VMM=5, CKTPrunning=1, PDAC=40, XADC=635, MMFE8=124
VMM=6, CKTPrunning=1, PDAC=40, XADC=665, MMFE8=124
VMM=7, CKTPrunning=1, PDAC=40, XADC=658, MMFE8=124
VMM=0, CKTPrunning=1, PDAC=40, XADC=778, MMFE8=124
VMM=1, CKTPrunning=1, PDAC=40, XADC=596, MMFE8=124
VMM=2, CKTPrunning=1, PDAC=40, XADC=662, MMFE8=124
VMM=3, CKTPrunning=1, PDAC=40, XADC=649, MMFE8=124
VMM=4, CKTPrunning=1, PDAC=40, XADC=633, MMFE8=124
VMM=5, CKTPrunning=1, PDAC=40, XADC=634, MMFE8=124
VMM=6, CKTPrunning=1, PDAC=40, XADC=665, MMFE8=124
VMM=7, CKTPrunning=1, PDAC=40, XADC=660, MMFE8=124
VMM=0, CKTPrunning=1, PDAC=40, XADC=778, MMFE8=124
VMM=1, CKTPrunning=1, PDAC=40, XADC=597, MMFE8=124
VMM=2, CKTPrunning=1, PDAC=40, XADC=661, MMFE8=124
VMM=3, CKTPrunning=1, PDAC=40, XADC=649, MMFE8=124
VMM=4, CKTPrunning=1, PDAC=40, XADC=634, MMFE8=124
VMM=5, CKTPrunning=1, PDAC=40, XADC=633, MMFE8=124
VMM=6, CKTPrunning=1, PDAC=40, XADC=662, MMFE8=124
VMM=7, CKTPrunning=1, PDAC=40, XADC=660, MMFE8=124
VMM=0, CKTPrunning=1, PDAC=40, XADC=106, MMFE8=124
VMM=1, CKTPrunning=1, PDAC=40, XADC=100, MMFE8=124
VMM=2, CKTPrunning=1, PDAC=40, XADC=89, MMFE8=124
VMM=3, CKTPrunning=1, PDAC=40, XADC=128, MMFE8=124
VMM=4, CKTPrunning=1, PDAC=40, XADC=102, MMFE8=124
VMM=5, CKTPrunning=1, PDAC=40, XADC=81, MMFE8=124
VMM=6, CKTPrunning=1, PDAC=40, XADC=91, MMFE8=124
VMM=7, CKTPrunning=1, PDAC=40, XADC=108, MMFE8=124
VMM=0, CKTPrunning=1, PDAC=40, XADC=104, MMFE8=124
VMM=1, CKTPrunning=1, PDAC=40, XADC=101, MMFE8=124
VMM=2, CKTPrunning=1, PDAC=40, XADC=87, MMFE8=124
VMM=3, CKTPrunning=1, PDAC=40, XADC=130, MMFE8=124
VMM=4, CKTPrunning=1, PDAC=40, XADC=104, MMFE8=124
VMM=5, CKTPrunning=1, PDAC=40, XADC=84, MMFE8=124
VMM=6, CKTPrunning=1, PDAC=40, XADC=93, MMFE8=124
VMM=7, CKTPrunning=1, PDAC=40, XADC=105, MMFE8=124
VMM=0, CKTPrunning=1, PDAC=40, XADC=103, MMFE8=124
VMM=1, CKTPrunning=1, PDAC=40, XADC=100, MMFE8=124
VMM=2, CKTPrunning=1, PDAC=40, XADC=87, MMFE8=124
VMM=3, CKTPrunning=1, PDAC=40, XADC=129, MMFE8=124
VMM=4, CKTPrunning=1, PDAC=40, XADC=104, MMFE8=124
VMM=5, CKTPrunning=1, PDAC=40, XADC=83, MMFE8=124
VMM=6, CKTPrunning=1, PDAC=40, XADC=91, MMFE8=124
VMM=7, CKTPrunning=1, PDAC=40, XADC=105, MMFE8=124
VMM=0, CKTPrunning=1, PDAC=40, XADC=104, MMFE8=124
VMM=1, CKTPrunning=1, PDAC=40, XADC=103, MMFE8=124
VMM=2, CKTPrunning=1, PDAC=40, XADC=89, MMFE8=124
VMM=3, CKTPrunning=1, PDAC=40, XADC=129, MMFE8=124
VMM=4, CKTPrunning=1, PDAC=40, XADC=103, MMFE8=124
VMM=5, CKTPrunning=1, PDAC=40, XADC=84, MMFE8=124
VMM=6, CKTPrunning=1, PDAC=40, XADC=94, MMFE8=124
