VMM=0, CKTPrunning=1, PDAC=40, XADC=857, MMFE8=106
VMM=1, CKTPrunning=1, PDAC=40, XADC=706, MMFE8=106
VMM=2, CKTPrunning=1, PDAC=40, XADC=579, MMFE8=106
VMM=3, CKTPrunning=1, PDAC=40, XADC=489, MMFE8=106
VMM=4, CKTPrunning=1, PDAC=40, XADC=507, MMFE8=106
VMM=5, CKTPrunning=1, PDAC=40, XADC=495, MMFE8=106
VMM=6, CKTPrunning=1, PDAC=40, XADC=489, MMFE8=106
VMM=7, CKTPrunning=1, PDAC=40, XADC=496, MMFE8=106
VMM=0, CKTPrunning=1, PDAC=40, XADC=857, MMFE8=106
VMM=1, CKTPrunning=1, PDAC=40, XADC=705, MMFE8=106
VMM=2, CKTPrunning=1, PDAC=40, XADC=574, MMFE8=106
VMM=3, CKTPrunning=1, PDAC=40, XADC=484, MMFE8=106
VMM=4, CKTPrunning=1, PDAC=40, XADC=504, MMFE8=106
VMM=5, CKTPrunning=1, PDAC=40, XADC=491, MMFE8=106
VMM=6, CKTPrunning=1, PDAC=40, XADC=488, MMFE8=106
VMM=7, CKTPrunning=1, PDAC=40, XADC=492, MMFE8=106
VMM=0, CKTPrunning=1, PDAC=40, XADC=857, MMFE8=106
VMM=1, CKTPrunning=1, PDAC=40, XADC=708, MMFE8=106
VMM=2, CKTPrunning=1, PDAC=40, XADC=580, MMFE8=106
VMM=3, CKTPrunning=1, PDAC=40, XADC=491, MMFE8=106
VMM=4, CKTPrunning=1, PDAC=40, XADC=507, MMFE8=106
VMM=5, CKTPrunning=1, PDAC=40, XADC=496, MMFE8=106
VMM=6, CKTPrunning=1, PDAC=40, XADC=489, MMFE8=106
VMM=7, CKTPrunning=1, PDAC=40, XADC=495, MMFE8=106
VMM=0, CKTPrunning=1, PDAC=40, XADC=857, MMFE8=106
VMM=1, CKTPrunning=1, PDAC=40, XADC=708, MMFE8=106
VMM=2, CKTPrunning=1, PDAC=40, XADC=579, MMFE8=106
VMM=3, CKTPrunning=1, PDAC=40, XADC=489, MMFE8=106
VMM=4, CKTPrunning=1, PDAC=40, XADC=507, MMFE8=106
VMM=5, CKTPrunning=1, PDAC=40, XADC=495, MMFE8=106
VMM=6, CKTPrunning=1, PDAC=40, XADC=491, MMFE8=106
VMM=7, CKTPrunning=1, PDAC=40, XADC=496, MMFE8=106
VMM=0, CKTPrunning=1, PDAC=40, XADC=855, MMFE8=106
VMM=1, CKTPrunning=1, PDAC=40, XADC=711, MMFE8=106
VMM=2, CKTPrunning=1, PDAC=40, XADC=576, MMFE8=106
VMM=3, CKTPrunning=1, PDAC=40, XADC=488, MMFE8=106
VMM=4, CKTPrunning=1, PDAC=40, XADC=509, MMFE8=106
VMM=5, CKTPrunning=1, PDAC=40, XADC=497, MMFE8=106
VMM=6, CKTPrunning=1, PDAC=40, XADC=490, MMFE8=106
VMM=7, CKTPrunning=1, PDAC=40, XADC=497, MMFE8=106
VMM=0, CKTPrunning=1, PDAC=40, XADC=861, MMFE8=106
VMM=1, CKTPrunning=1, PDAC=40, XADC=709, MMFE8=106
VMM=2, CKTPrunning=1, PDAC=40, XADC=582, MMFE8=106
VMM=3, CKTPrunning=1, PDAC=40, XADC=492, MMFE8=106
VMM=4, CKTPrunning=1, PDAC=40, XADC=510, MMFE8=106
VMM=5, CKTPrunning=1, PDAC=40, XADC=498, MMFE8=106
VMM=6, CKTPrunning=1, PDAC=40, XADC=495, MMFE8=106
VMM=7, CKTPrunning=1, PDAC=40, XADC=498, MMFE8=106
VMM=0, CKTPrunning=1, PDAC=40, XADC=858, MMFE8=106
VMM=1, CKTPrunning=1, PDAC=40, XADC=707, MMFE8=106
VMM=2, CKTPrunning=1, PDAC=40, XADC=579, MMFE8=106
VMM=3, CKTPrunning=1, PDAC=40, XADC=491, MMFE8=106
VMM=4, CKTPrunning=1, PDAC=40, XADC=508, MMFE8=106
VMM=5, CKTPrunning=1, PDAC=40, XADC=498, MMFE8=106
VMM=6, CKTPrunning=1, PDAC=40, XADC=488, MMFE8=106
VMM=7, CKTPrunning=1, PDAC=40, XADC=497, MMFE8=106
VMM=0, CKTPrunning=1, PDAC=40, XADC=860, MMFE8=106
VMM=1, CKTPrunning=1, PDAC=40, XADC=707, MMFE8=106
VMM=2, CKTPrunning=1, PDAC=40, XADC=578, MMFE8=106
VMM=3, CKTPrunning=1, PDAC=40, XADC=488, MMFE8=106
VMM=4, CKTPrunning=1, PDAC=40, XADC=508, MMFE8=106
VMM=5, CKTPrunning=1, PDAC=40, XADC=496, MMFE8=106
VMM=6, CKTPrunning=1, PDAC=40, XADC=489, MMFE8=106
VMM=7, CKTPrunning=1, PDAC=40, XADC=495, MMFE8=106
VMM=0, CKTPrunning=1, PDAC=40, XADC=859, MMFE8=106
VMM=1, CKTPrunning=1, PDAC=40, XADC=709, MMFE8=106
VMM=2, CKTPrunning=1, PDAC=40, XADC=581, MMFE8=106
VMM=3, CKTPrunning=1, PDAC=40, XADC=489, MMFE8=106
VMM=4, CKTPrunning=1, PDAC=40, XADC=509, MMFE8=106
VMM=5, CKTPrunning=1, PDAC=40, XADC=495, MMFE8=106
VMM=6, CKTPrunning=1, PDAC=40, XADC=489, MMFE8=106
VMM=7, CKTPrunning=1, PDAC=40, XADC=496, MMFE8=106
VMM=0, CKTPrunning=1, PDAC=40, XADC=856, MMFE8=106
VMM=1, CKTPrunning=1, PDAC=40, XADC=706, MMFE8=106
VMM=2, CKTPrunning=1, PDAC=40, XADC=579, MMFE8=106
VMM=3, CKTPrunning=1, PDAC=40, XADC=490, MMFE8=106
VMM=4, CKTPrunning=1, PDAC=40, XADC=508, MMFE8=106
VMM=5, CKTPrunning=1, PDAC=40, XADC=497, MMFE8=106
VMM=6, CKTPrunning=1, PDAC=40, XADC=488, MMFE8=106
VMM=7, CKTPrunning=1, PDAC=40, XADC=496, MMFE8=106
VMM=0, CKTPrunning=1, PDAC=40, XADC=857, MMFE8=106
VMM=1, CKTPrunning=1, PDAC=40, XADC=710, MMFE8=106
VMM=2, CKTPrunning=1, PDAC=40, XADC=577, MMFE8=106
VMM=3, CKTPrunning=1, PDAC=40, XADC=489, MMFE8=106
VMM=4, CKTPrunning=1, PDAC=40, XADC=507, MMFE8=106
VMM=5, CKTPrunning=1, PDAC=40, XADC=499, MMFE8=106
VMM=6, CKTPrunning=1, PDAC=40, XADC=490, MMFE8=106
VMM=7, CKTPrunning=1, PDAC=40, XADC=494, MMFE8=106
VMM=0, CKTPrunning=1, PDAC=40, XADC=858, MMFE8=106
VMM=1, CKTPrunning=1, PDAC=40, XADC=708, MMFE8=106
VMM=2, CKTPrunning=1, PDAC=40, XADC=580, MMFE8=106
VMM=3, CKTPrunning=1, PDAC=40, XADC=491, MMFE8=106
VMM=4, CKTPrunning=1, PDAC=40, XADC=509, MMFE8=106
VMM=5, CKTPrunning=1, PDAC=40, XADC=497, MMFE8=106
